685,Krieg,45,21,1998
686,Kuina,5,2,1997
687,Kukai,552,461,2009
688,Kumadori,375,264,2005
689,Kumadori Yamanbako,422,,2006
690,Kumae,,,2012
691,Kumagoro,929,922,2019
692,Kumashi,449,343,2007
693,Kuni,927,919,2018
694,Kunyun,1020,,2020
695,Kureha,134,81,2000
696,Kuro,23,9,1998
697,Kurokoma,960,960,2019
698,Kuromarimo,131,79,2000
699,Kuroobi,69,31,1999
700,Kurosawa,920,911,2018
701,Kurotsuru,276,,2003
702,Kurozumi Higurashi,965,965,2019
703,Kurozumi Kanjuro,700,629,2013
704,Kurozumi Orochi,927,921,2018
705,Kurozumi Semimaru,965,965,2019
706,Kuzan,303,225,2003
707,Kyros,702,631,2013
708,Kyuin,755,692,2014
709,Kyuji,302,,2003
710,Kyukyu,334,237,2004
711,Laboon,102,62,1999
712,Lacroix,550,459,2009
713,Lacuba,502,395,2008
714,Lady Tree,873,844,2017
715,Laffitte,234,151,2002
716,Lao G,682,608,2012
717,Laskey,393,276,2005
718,Lassoo,160,103,2000
719,Lemoncheese,906,884,2018
720,Leo,710,640,2013
721,Leonero,552,461,2009
722,Lily,223,146,2002
723,Limejuice,41,4,1998
724,Lindbergh,904,880,2018
725,Lines,44,21,1998
726,Lionbuta,22,18,1998
727,Lip Doughty,600,519,2010
728,Little Oars Jr.,554,463,2009
729,Loki,858,827,2017
730,Lola,451,345,2007
731,Lonz,550,459,2009
732,Lord of the Coast,1,4,1997
733,Louis Arnote,115,70,2000
734,Lucky Roux,1,4,1997
735,Lulis,608,527,2010
736,Machvise,682,608,2012
737,Macro,197,386,2001
738,Macroo,450,,2007
739,Madilloman,939,935,2019
740,Magellan,528,425,2009
741,Magra,582,493,2010
742,Maha,929,922,2019
743,Maidy,215,129,2002
744,Maki,925,917,2018
745,Makino,1,4,1997
746,Makko,216,,2002
747,Mamboshi,609,528,2011
748,Mani,223,146,2002
749,Manjaro,598,518,2010
750,Mansherry,717,647,2013
751,Marco,234,151,2002
752,Margarita,483,375,2007
753,Marguerite,514,408,2008
754,Mari,906,884,2018
755,Maria Napole,649,569,2011
756,Marianne,117,70,2000
757,Marie,499,393,2008
758,Marilyn,300,193,2003
759,Marin,500,394,2008
760,Mario,701,630,2013
761,Marshall D. Teach,223,146,2002
762,Marumieta,436,,2006
763,Mash,204,,2001
764,Mashikaku,98,48,1999
765,Masira,219,144,2002
766,Masked Deuce,552,461,2009
767,Massui,911,893,2018
768,Master,233,145,2002
769,Master of the Waters,319,227,2004
770,Matryosaka,905,882,2018
771,Matryoseka,905,882,2018
772,Matryosoka,905,882,2018
773,Matryosuka,905,882,2018
774,Matsuge,162,93,2001
775,Maujii,755,692,2014
776,Max Marx,966,967,2020
777,Maynard,705,634,2013
778,Mayushika,269,176,2003
779,McGuy,551,460,2009
780,McKinley,241,155,2002
781,Meadows,706,659,2013
782,Megalo,605,525,2010
783,Mero,608,527,2010
784,Merry,24,11,1998
785,Michael,371,313,2005
786,Mihar,552,461,2009
787,Mikazuki,323,230,2004
788,Mikio Itoo,1,,1997
789,Mikita,110,65,1999
790,Milky,814,765,2016
791,Millet Pine,966,959,2020
792,Milo (aka Onepoco),717,647,2013
793,Minatomo,,4,1998
794,Minatomoo,909,892,2018
795,Minister of the Left,612,531,2011
796,Minister of the Right,612,531,2011
797,Minochihuahua,662,,2012
798,Minokoala,531,432,2009
799,Minorhinoceros,532,433,2009
800,Minoruba,498,392,2008
801,Minotaurus,525,422,2008
802,Minozebra,533,434,2009
803,Misery,1039,,2022
804,Miss Catherina,107,64,1999
805,Miss Father's Day,205,124,2001
806,Miss Friday,105,63,1999
807,Miss Monday,107,64,1999
808,Miss Mother's Day,155,91,2000
809,Miss Saturday,155,91,2000
810,Miss Thursday,155,91,2000
811,Miss Tuesday,155,91,2000
812,Miyagi,808,756,2015
813,Mizerka,978,982,2020
814,Mizuira,391,275,2005
815,Mizuta Madaisuki,487,380,2008
816,Mizuta Mawaritosuki,488,380,2008
817,Moai,1040,,2022
818,MocDonald,447,341,2007
819,Mocha,657,582,2012
820,Mochi,274,180,2003
821,Moda,278,880,2003
822,Mohji,9,6,1997
823,Momonga,420,302,2006
824,Momoo,73,31,1999
825,Monda,306,209,2004
826,Monet,657,581,2012
827,Monjii,807,756,2015
828,Monjiro,926,918,2018
829,Monkey D. Dragon,100,52,1999
830,Monkey D. Garp,92,68,1999
831,Monkey D. Luffy,1,1,1997
832,Monster,1,489,1997
833,Mont Blanc Cricket,227,148,2002
834,Mont Blanc Noland,286,187,2003
835,Moodie,43,20,1998
836,Moon Isaac Jr.,966,969,2020
837,Moqueca,906,884,2018
838,Morgan,4,2,1997
839,Morgans,860,828,2017
840,Morley,904,880,2018
841,Mornin,23,SP12,1998
842,Mororon,905,882,2018
843,Mosh,1038,,2022
844,Motobaro,494,388,2008
845,Motzel,43,20,1998
846,Mounblutain,598,517,2010
847,Mountain God,960,960,2019
848,Mountain Ricky,313,217,2004
849,Mouseman,915,901,2018
850,Mousse,287,187,2003
851,Moyle,272,178,2003
852,Mozambia,234,151,2002
853,Mozu,329,233,2004
854,Mr. 10,155,91,2000
855,Mr. 11,128,79,2000
856,Mr. 12,155,91,2000
857,Mr. 13,105,63,1999
858,Mr. 6,155,91,2000
859,Mr. 7,190,116,2001
860,Mr. 77,205,124,2001
861,Mr. 9,103,62,1999
862,Mr. Beans,106,64,1999
